Nama Tempat
Candi Gedong Songo (SMG)
Lawang Sewu (SMG)
Sam Poo Kong Temple (SMG)
Kampoeng Djadhoel Semarang (SMG)
Pura Giri Natha (SMG)
Semarang Contemporary Art Gallery (SMG)
Monumen Palagan Ambarawa (SMG)
Museum Kereta Ambarawa (SMG)
Kota Lama Semarang (SMG)
Semarang Chinatown (SMG)
Tugu Muda Semarang (SMG)
Kampung Tematik Jawi (SMG)
Kampung Batik Gedong Semarang (SMG)
Monumen Kapal Selam (SBY)
Museum TNI AL Loka Jala Crana (SBY)
Jembatan Merah (SBY)
Museum De Javasche Bank (SBY)
Klenteng Sanggar Agung (SBY)
Museum Sepuluh Nopember Kota Surabaya (SBY)
Surabaya Museum (Gedung Siola) (SBY)
Monumen Jalesveva Jayamahe (SBY)
Patung Sura dan Buaya (SBY)
Balai Kota Surabaya (SBY)
Patung Buddha Empat Rupa (SBY)
Monumen Bambu Runcing Surabaya (SBY)
